O=C([C@H]1CCC[NH2+]1)N1CCC[NH2+]CC1 ZINC000035738390
O=C([C@@H]1CCC[NH2+]1)N1CCC[NH2+]CC1 ZINC000035738391
[NH3+]CCN1CCC([NH3+])CC1 ZINC000035923517
CC[NH+]1CCC(N(C)C(=O)C[NH3+])CC1 ZINC000036135339
C[NH+](C)C1CCN(C(=O)CC[NH3+])CC1 ZINC000036191814
[NH3+][C@@H]1CC[C@H]2C[NH2+]C[C@H]12 ZINC000036379914
[NH3+][C@@H]1CC[C@H]2C[NH2+]C[C@@H]12 ZINC000036379916
CC[NH+]1CCC([NH2+]CCC(N)=O)CC1 ZINC000036747058
[NH3+]C1CC[NH+](CCCO)CC1 ZINC000036754549
CC[C@H]([NH3+])C(=O)NCC[NH+](C)C ZINC000036871030
CC[C@@H]([NH3+])C(=O)NCC[NH+](C)C ZINC000036871031
CC[C@H]([NH3+])C(=O)NCCC[NH+](C)C ZINC000036871364
CC[C@@H]([NH3+])C(=O)NCCC[NH+](C)C ZINC000036871365
CC[C@H]([NH3+])C(=O)N1CCC[N@H+](C)CC1 ZINC000036871486
CC[C@@H]([NH3+])C(=O)N1CCC[N@H+](C)CC1 ZINC000036871487
CC[C@H]([NH3+])C(=O)NC1CC[NH+](C)CC1 ZINC000036871651
CC[C@@H]([NH3+])C(=O)NC1CC[NH+](C)CC1 ZINC000036871652
CC[C@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000036871725
CC[C@@H]([NH3+])C(=O)N1CC[NH2+]CC1 ZINC000036871726
CC[C@H]([NH3+])C(=O)N1CCC[NH2+]CC1 ZINC000036871741
CC[C@@H]([NH3+])C(=O)N1CCC[NH2+]CC1 ZINC000036871742
C[NH2+]CC(=O)NCCC[NH+]1CCCC1 ZINC000036984193
[NH3+]CCC(=O)NCCC[NH+]1CCCC1 ZINC000036984196
[NH3+]CC(=O)NCCC[NH+]1CCCC1 ZINC000036984197
C[C@@H](C[NH+]1CCCCC1)NC(=O)C[NH3+] ZINC000036999049
C[C@H](C[NH+]1CCCCC1)NC(=O)C[NH3+] ZINC000036999050
[NH3+]CC(=O)N[C@H]1CC[N@@H+]2CCCC[C@@H]12 ZINC000037023734
[NH3+]CC(=O)N[C@@H]1CC[N@@H+]2CCCC[C@@H]12 ZINC000037023736
COCC[NH+]1CCN(CC[NH3+])CC1 ZINC000037039573
CC[N@@H+]1CCCN(CC[NH3+])CC1 ZINC000037039696
CC(C)[NH+]1CCC(NC(=O)C[NH3+])CC1 ZINC000037041679
